login_id,customer_id,login_ts,device,success_flag,app_version
1,344,2024-03-21 22:52:29,iOS,True,2.2.9
2,442,2024-09-14 00:49:05,Mobile Web,True,2.2.9
3,211,2024-03-09 21:29:27,Web,True,2.6.7
4,12,2024-07-29 00:08:24,Mobile Web,True,2.4.8
5,181,2024-12-03 22:29:37,Web,True,1.8.3
6,411,2024-09-14 18:21:09,Web,True,2.3.4
7,430,2024-04-14 18:53:44,Web,True,1.6.4
8,398,2024-08-21 19:25:53,iOS,True,2.0.9
9,86,2024-11-09 23:18:07,Mobile Web,True,2.2.1
10,428,2025-06-27 01:08:35,Android,True,2.0.6
11,205,2023-10-24 20:07:46,iOS,True,1.4.8
12,427,2023-09-16 13:03:18,iOS,True,1.8.8
13,294,2024-07-22 06:54:57,iOS,True,2.8.8
14,122,2024-09-25 21:39:48,Mobile Web,True,1.8.5
15,213,2025-06-05 08:36:46,iOS,True,2.5.0
16,25,2023-01-01 07:44:59,iOS,True,2.6.1
17,304,2025-06-28 21:42:56,Web,True,1.5.6
18,150,2023-04-10 20:18:52,Web,True,1.7.8
19,341,2025-05-14 10:42:40,Mobile Web,True,1.8.7
20,468,2025-01-08 00:42:36,iOS,True,1.6.0
21,16,2023-04-26 22:58:29,Android,True,1.0.3
22,139,2025-07-29 10:45:48,Web,True,2.2.9
23,305,2025-08-18 01:34:30,Mobile Web,True,2.6.8
24,463,2025-08-09 14:35:42,Web,True,1.6.2
25,404,2025-03-07 04:35:21,iOS,True,2.6.7
26,71,2023-11-19 15:29:27,Android,True,1.1.9
27,5,2023-12-06 08:35:21,Android,True,2.7.0
28,133,2024-05-25 11:11:18,Mobile Web,True,2.8.4
29,351,2025-03-15 11:51:27,Web,True,2.5.2
30,50,2025-05-18 08:26:17,Android,True,2.1.2
31,148,2023-12-08 12:39:33,Android,True,1.0.3
32,202,2023-05-11 23:58:19,Android,True,1.7.3
33,473,2025-03-08 23:18:18,Android,True,2.7.2
